Date       ,Open     ,High     ,Low      ,Close    ,Volume
10/21/2024 ,"416.12" ,"418.96" ,"413.75" ,"418.78" ,"14,206,120"
10/18/2024 ,"417.14" ,"419.65" ,"416.26" ,"418.16" ,"17,145,320"
10/17/2024 ,"422.36" ,"422.50" ,"415.59" ,"416.72" ,"14,820,000"
10/16/2024 ,"415.17" ,"416.36" ,"410.48" ,"416.12" ,"15,508,930"
10/15/2024 ,"422.18" ,"422.48" ,"415.26" ,"418.74" ,"18,900,199"
10/14/2024 ,"417.77" ,"424.04" ,"417.52" ,"419.14" ,"16,653,090"
10/11/2024 ,"416.14" ,"417.13" ,"413.25" ,"416.32" ,"14,144,940"
10/10/2024 ,"415.23" ,"417.35" ,"413.15" ,"415.84" ,"13,848,380"
10/09/2024 ,"415.86" ,"420.38" ,"414.30" ,"417.46" ,"14,974,260"
10/08/2024 ,"410.90" ,"415.66" ,"408.17" ,"414.71" ,"19,229,260"
10/07/2024 ,"416.00" ,"417.11" ,"409.00" ,"409.54" ,"20,919,760"
10/04/2024 ,"418.24" ,"419.75" ,"414.97" ,"416.06" ,"19,190,910"
10/03/2024 ,"417.63" ,"419.55" ,"414.29" ,"416.54" ,"13,686,420"
10/02/2024 ,"422.58" ,"422.82" ,"416.71" ,"417.13" ,"16,582,260"
10/01/2024 ,"428.45" ,"428.48" ,"418.81" ,"420.69" ,"19,092,949"
09/30/2024 ,"428.21" ,"430.42" ,"425.37" ,"430.30" ,"16,854,609"
09/27/2024 ,"431.52" ,"431.85" ,"427.47" ,"428.02" ,"14,896,130"
09/26/2024 ,"435.09" ,"435.30" ,"429.13" ,"431.31" ,"14,492,040"
09/25/2024 ,"429.83" ,"433.12" ,"428.57" ,"432.11" ,"13,396,360"
09/24/2024 ,"433.00" ,"433.35" ,"426.10" ,"429.17" ,"17,015,750"
09/23/2024 ,"434.28" ,"436.46" ,"430.39" ,"433.51" ,"15,128,890"
